"batting_team","PA_momentum_0","PA_momentum_1","Hits_momentum_0","Hits_momentum_1","Batting_Average_momentum_0","Batting_Average_momentum_1","BA_Difference"
"DET",1366,389,312,123,0.228404099560761,0.316195372750643,0.0877912731898813
"SEA",1403,366,305,97,0.217391304347826,0.265027322404372,0.0476360180565455
"AZ",1410,390,328,109,0.232624113475177,0.279487179487179,0.0468630660120022
"CHC",1415,330,302,82,0.213427561837456,0.248484848484848,0.0350572866473926
"PIT",1354,335,288,80,0.212703101920236,0.238805970149254,0.0261028682290174
"TOR",1421,406,356,112,0.250527797325827,0.275862068965517,0.0253342716396904
"WSH",1373,433,360,123,0.262199563000728,0.284064665127021,0.0218651021262924
"LAD",1389,396,344,106,0.247660187185025,0.267676767676768,0.0200165804917425
"COL",1458,453,372,124,0.255144032921811,0.273730684326711,0.0185866514049001
"BAL",1403,424,358,115,0.255167498218104,0.27122641509434,0.0160589168762356
"PHI",1316,380,335,102,0.254559270516717,0.268421052631579,0.0138617821148616
"SD",1360,397,352,108,0.258823529411765,0.272040302267003,0.0132167728552378
"MIA",1390,384,337,98,0.242446043165468,0.255208333333333,0.0127622901678657
"MIL",1410,338,312,79,0.221276595744681,0.233727810650888,0.0124512149062067
"MIN",1426,386,342,97,0.239831697054698,0.251295336787565,0.0114636397328663
"OAK",1447,351,330,84,0.22805805114029,0.239316239316239,0.0112581881759491
"CIN",1353,285,275,61,0.203252032520325,0.214035087719298,0.010783055198973
"STL",1248,316,293,77,0.234775641025641,0.243670886075949,0.00889524505030834
"TEX",1411,339,313,78,0.221828490432318,0.230088495575221,0.00826000514290373
"SF",1384,433,370,118,0.267341040462428,0.272517321016166,0.00517628055373853
"KC",1436,388,345,95,0.24025069637883,0.244845360824742,0.00459466444591217
"NYY",1352,364,334,89,0.247041420118343,0.244505494505494,-0.00253592561284871
"LAA",1442,390,355,95,0.246185852981969,0.243589743589744,-0.0025961093922259
"CWS",1450,438,378,113,0.260689655172414,0.257990867579909,-0.00269878759250508
"CLE",1460,356,340,81,0.232876712328767,0.22752808988764,-0.00534862244112666
"TB",1417,363,339,83,0.23923782639379,0.228650137741047,-0.0105876886527429
"HOU",1410,399,352,95,0.249645390070922,0.238095238095238,-0.0115501519756839
"ATL",1495,462,408,119,0.272909698996656,0.257575757575758,-0.0153339414208979
"BOS",1423,438,390,108,0.274068868587491,0.246575342465753,-0.0274935261217378
"NYM",1424,450,416,94,0.292134831460674,0.208888888888889,-0.0832459425717852
